timestamp,traffic_label,ap1_proto,ap1_streams,ap1_udp_rate,ap1_tcp_window,ap1_throughput_bps,ap1_loss_pct,ap1_jitter_ms,ap1_txd_client_mac,ap1_txd_tx_delta_bytes,ap1_txd_estimated_throughput_bps,ap1_wifi_channel,ap1_wifi_frequency_mhz,ap1_wifi_bandwidth_mhz,ap1_wifi_tx_power_dbm,ap1_wifi_cwmin,ap1_wifi_cwmax,ap1_wifi_noise_floor_dbm,ap1_wifi_channel_busy_percent,ap1_wifi_nss,ap1_wifi_rts_cts,ap1_wifi_latency_min_ms,ap1_wifi_latency_avg_ms,ap1_wifi_latency_max_ms,ap1_client_client_mac,ap1_client_signal_rssi_dbm,ap1_client_tx_retries,ap1_client_tx_failed,ap1_client_tx_bitrate_mbps,ap1_client_rx_bitrate_mbps,ap1_client_tx_bytes,ap1_client_rx_bytes,ap1_client_mcs_index,ap2_proto,ap2_streams,ap2_udp_rate,ap2_tcp_window,ap2_throughput_bps,ap2_loss_pct,ap2_jitter_ms,ap2_txd_client_mac,ap2_txd_tx_delta_bytes,ap2_txd_estimated_throughput_bps,ap2_wifi_channel,ap2_wifi_frequency_mhz,ap2_wifi_bandwidth_mhz,ap2_wifi_tx_power_dbm,ap2_wifi_cwmin,ap2_wifi_cwmax,ap2_wifi_noise_floor_dbm,ap2_wifi_channel_busy_percent,ap2_wifi_nss,ap2_wifi_rts_cts,ap2_wifi_latency_min_ms,ap2_wifi_latency_avg_ms,ap2_wifi_latency_max_ms,ap2_client_client_mac,ap2_client_signal_rssi_dbm,ap2_client_tx_retries,ap2_client_tx_failed,ap2_client_tx_bitrate_mbps,ap2_client_rx_bitrate_mbps,ap2_client_tx_bytes,ap2_client_rx_bytes,ap2_client_mcs_index
2025-08-14 13:34:35,RUN_20250814_133412_4,TCP,1,,1M,98940040.3557223,0.0,,68:54:5a:e2:f2:c0,45124.0,36099.0,44,5220,80,23,63,127,-91,2,1,off,1.009,1.391,1.53,68:54:5a:e2:f2:c0,-45.0,9.0,9.0,390.0,702.0,46878.0,19237.0,9.0,TCP,1,,1M,86246573.5123487,0.0,,ac:ed:5c:47:06:cb,111582340.0,89265872.0,44,5220,40,10,7,15,-92,2,2,on,1.343,1.9,2.704,ac:ed:5c:47:06:cb,-45.0,3.0,3.0,6.0,6.0,111582746.0,383676.0,
2025-08-14 13:35:09,RUN_20250814_133442_5,UDP,1,50M,,49996149.030422665,0.0,0.05451530801311965,68:54:5a:e2:f2:c0,5177.0,4141.0,48,5240,40,17,31,63,-91,2,2,on,0.967,1.79,2.176,68:54:5a:e2:f2:c0,-46.0,0.0,0.0,135.0,270.0,7517.0,18116.0,7.0,TCP,1,,2M,51529513.26910627,0.0,,ac:ed:5c:47:06:cb,43242646.0,34594116.0,36,5180,40,17,7,15,-92,21,1,on,1.736,2.274,2.603,ac:ed:5c:47:06:cb,-43.0,450.0,450.0,6.0,6.0,43244620.0,172729.0,
2025-08-14 13:36:49,RUN_20250814_133623_8,UDP,1,50M,,49996139.03127385,2.303058387395737,0.25264812674565085,68:54:5a:e2:f2:c0,64313038.0,51450430.0,36,5180,80,23,63,127,-91,38,2,off,0.867,1.517,2.75,68:54:5a:e2:f2:c0,-45.0,1.0,1.0,292.5,585.0,6267.0,15405.0,7.0,TCP,16,,,229027647.3267611,0.0,,ac:ed:5c:47:06:cb,283282801.0,226626240.0,48,5240,80,17,15,31,-88,17,1,on,0.983,1.392,2.08,ac:ed:5c:47:06:cb,-46.0,1.0,1.0,6.0,6.0,6637.0,17986.0,
2025-08-14 13:37:22,RUN_20250814_133656_9,TCP,1,,512K,104787554.15557306,0.0,,68:54:5a:e2:f2:c0,136765234.0,109412187.0,36,5180,40,23,15,31,-92,34,2,on,1.973,2.366,3.219,68:54:5a:e2:f2:c0,-45.0,0.0,0.0,135.0,270.0,6516.0,17672.0,7.0,TCP,4,,,89833838.69302604,0.0,,ac:ed:5c:47:06:cb,112967648.0,90374118.0,48,5240,40,23,31,63,-88,17,2,on,1.251,2.662,5.073,ac:ed:5c:47:06:cb,-46.0,0.0,0.0,135.0,27.0,6235.0,18079.0,7.0
2025-08-14 13:37:56,RUN_20250814_133729_10,UDP,1,10M,,9999229.80608453,0.0,0.7268853280069042,68:54:5a:e2:f2:c0,12866429.0,10293143.0,44,5220,20,23,31,63,-92,30,1,on,1.984,2.467,3.9,68:54:5a:e2:f2:c0,-46.0,0.0,0.0,65.0,130.0,5067.0,14973.0,7.0,TCP,2,,,87558448.52715077,0.0,,ac:ed:5c:47:06:cb,112899738.0,90319790.0,36,5180,40,10,7,15,-91,31,1,on,2.34,2.538,3.101,ac:ed:5c:47:06:cb,-47.0,0.0,0.0,135.0,40.5,6514.0,15813.0,7.0
2025-08-14 13:38:27,RUN_20250814_133803_11,TCP,2,,,40877916.630918436,0.0,,68:54:5a:e2:f2:c0,49961254.0,39969003.0,48,5240,20,10,7,15,-92,30,1,off,0.805,1.214,1.921,68:54:5a:e2:f2:c0,-47.0,0.0,0.0,65.0,117.0,5658.0,13917.0,7.0,TCP,1,,1M,65707774.0152971,0.0,,ac:ed:5c:47:06:cb,84799986.0,67839988.0,48,5240,40,23,15,31,-92,24,2,on,1.243,2.148,3.703,ac:ed:5c:47:06:cb,-45.0,0.0,0.0,135.0,24.0,4151.0,7575.0,7.0
2025-08-14 13:39:37,RUN_20250814_133910_13,TCP,8,,,85832926.22159272,0.0,,68:54:5a:e2:f2:c0,100606531.0,80485224.0,36,5180,40,17,15,31,-92,33,2,off,1.678,1.789,1.901,68:54:5a:e2:f2:c0,-45.0,0.0,0.0,135.0,243.0,5538.0,12965.0,7.0,TCP,16,,,24747703.70783698,0.0,,ac:ed:5c:47:06:cb,28770804.0,23016643.0,40,5200,20,17,15,31,-92,2,1,on,1.458,2.353,3.249,,,,,,,,,
2025-08-14 13:40:09,RUN_20250814_133944_14,UDP,1,400M,,77600587.43524177,0.07762352589938797,0.1074517950518096,68:54:5a:e2:f2:c0,99819636.0,79855708.0,44,5220,40,23,31,63,-91,25,1,off,1.109,1.51,1.912,68:54:5a:e2:f2:c0,-47.0,1.0,1.0,135.0,243.0,5666.0,12874.0,7.0,TCP,1,,512K,73877084.1208223,0.0,,ac:ed:5c:47:06:cb,97143843.0,77715074.0,44,5220,80,17,15,31,-92,2,2,off,0.777,1.869,2.961,ac:ed:5c:47:06:cb,-47.0,1.0,1.0,292.5,6.0,1061.0,1305.0,7.0
2025-08-14 13:40:45,RUN_20250814_134017_15,UDP,1,400M,,132971698.8207492,2.259778726369893,0.028909607267088935,68:54:5a:e2:f2:c0,171041495.0,136833196.0,36,5180,80,10,7,15,-92,34,1,on,3.393,3.393,3.393,68:54:5a:e2:f2:c0,-44.0,0.0,0.0,390.0,468.0,4980.0,11186.0,9.0,TCP,1,,2M,32654871.486670673,0.0,,ac:ed:5c:47:06:cb,40915491.0,32732392.0,44,5220,20,10,15,31,-92,2,1,on,2.911,2.911,2.911,,,,,,,,,
2025-08-14 13:41:19,RUN_20250814_134052_16,TCP,8,,,71874432.6189114,0.0,,68:54:5a:e2:f2:c0,85471588.0,68377270.0,44,5220,40,10,31,63,-80,26,1,on,2.634,2.634,2.634,68:54:5a:e2:f2:c0,-43.0,0.0,0.0,6.0,162.0,4955.0,8276.0,12.0,TCP,4,,,135850624.87131533,0.0,,ac:ed:5c:47:06:cb,180549035.0,144439228.0,48,5240,80,17,63,127,-92,2,1,off,4.193,4.193,4.193,,,,,,,,,
