timestamp,traffic_label,ap1_proto,ap1_streams,ap1_udp_rate,ap1_tcp_window,ap1_throughput_bps,ap1_loss_pct,ap1_jitter_ms,ap1_txd_client_mac,ap1_txd_tx_delta_bytes,ap1_txd_estimated_throughput_bps,ap1_wifi_channel,ap1_wifi_frequency_mhz,ap1_wifi_bandwidth_mhz,ap1_wifi_tx_power_dbm,ap1_wifi_cwmin,ap1_wifi_cwmax,ap1_wifi_noise_floor_dbm,ap1_wifi_channel_busy_percent,ap1_wifi_nss,ap1_wifi_rts_cts,ap1_wifi_latency_min_ms,ap1_wifi_latency_avg_ms,ap1_wifi_latency_max_ms,ap1_client_client_mac,ap1_client_signal_rssi_dbm,ap1_client_tx_retries,ap1_client_tx_failed,ap1_client_tx_bitrate_mbps,ap1_client_rx_bitrate_mbps,ap1_client_tx_bytes,ap1_client_rx_bytes,ap1_client_mcs_index,ap2_proto,ap2_streams,ap2_udp_rate,ap2_tcp_window,ap2_throughput_bps,ap2_loss_pct,ap2_jitter_ms,ap2_txd_client_mac,ap2_txd_tx_delta_bytes,ap2_txd_estimated_throughput_bps,ap2_wifi_channel,ap2_wifi_frequency_mhz,ap2_wifi_bandwidth_mhz,ap2_wifi_tx_power_dbm,ap2_wifi_cwmin,ap2_wifi_cwmax,ap2_wifi_noise_floor_dbm,ap2_wifi_channel_busy_percent,ap2_wifi_nss,ap2_wifi_rts_cts,ap2_wifi_latency_min_ms,ap2_wifi_latency_avg_ms,ap2_wifi_latency_max_ms,ap2_client_client_mac,ap2_client_signal_rssi_dbm,ap2_client_tx_retries,ap2_client_tx_failed,ap2_client_tx_bitrate_mbps,ap2_client_rx_bitrate_mbps,ap2_client_tx_bytes,ap2_client_rx_bytes,ap2_client_mcs_index
2025-08-13 17:16:46,RUN_20250813_171619_14,TCP,1,,4M,57671091.7548641,0.0,,68:54:5a:e2:f2:c0,68764077.0,55011261.0,44,5220,20,17,15,31,-83,15,2,on,,,,68:54:5a:e2:f2:c0,-47.0,0.0,0.0,65.0,78.0,4762.0,5359.0,7.0,UDP,1,5M,,4999614.403084775,3.2900834105653383,5.37654644346569,ac:ed:5c:47:06:cb,6439440.0,5151552.0,44,5220,80,23,63,127,-92,4,2,off,,,,ac:ed:5c:47:06:cb,-49.0,96.0,96.0,263.3,780.0,6439876.0,20868.0,6.0
2025-08-13 17:17:20,RUN_20250813_171653_15,TCP,2,,,187848986.7709077,0.0,,68:54:5a:e2:f2:c0,241014220.0,192811376.0,36,5180,80,23,15,31,-92,49,2,off,,,,68:54:5a:e2:f2:c0,-45.0,0.0,0.0,292.5,351.0,4260.0,5071.0,7.0,TCP,16,,,185968765.71848908,0.0,,ac:ed:5c:47:06:cb,232055832.0,185644665.0,36,5180,80,10,7,15,-92,49,1,off,,,,ac:ed:5c:47:06:cb,-52.0,70.0,70.0,6.0,6.0,232056890.0,1858984.0,
2025-08-13 17:17:54,RUN_20250813_171727_16,TCP,2,,,242687226.842253,0.0,,68:54:5a:e2:f2:c0,315019857.0,252015885.0,44,5220,80,23,7,15,-91,38,1,on,,,,68:54:5a:e2:f2:c0,-46.0,0.0,0.0,390.0,234.0,1710.0,2251.0,9.0,TCP,1,,512K,31191862.497650027,0.0,,ac:ed:5c:47:06:cb,40299446.0,32239556.0,44,5220,20,10,15,31,-91,38,1,on,,,,ac:ed:5c:47:06:cb,-49.0,42.0,43.0,6.0,6.0,40300288.0,209740.0,
2025-08-13 17:18:28,RUN_20250813_171801_17,TCP,16,,,115905251.58229858,0.0,,68:54:5a:e2:f2:c0,139485051.0,111588040.0,44,5220,40,10,15,31,-91,38,1,on,2.172,2.172,2.172,68:54:5a:e2:f2:c0,-44.0,0.0,0.0,6.0,6.0,1604.0,1122.0,,TCP,4,,,93239683.4957031,0.0,,ac:ed:5c:47:06:cb,118309069.0,94647255.0,36,5180,40,10,63,127,-91,31,1,on,2.345,2.345,2.345,ac:ed:5c:47:06:cb,-46.0,18.0,18.0,6.0,6.0,118309971.0,859983.0,
2025-08-13 17:19:37,RUN_20250813_171911_19,TCP,2,,,56974604.97900648,0.0,,68:54:5a:e2:f2:c0,69635445.0,55708356.0,40,5200,20,10,63,127,-91,38,1,on,2.159,2.159,2.159,68:54:5a:e2:f2:c0,-46.0,0.0,0.0,65.0,52.0,985.0,1193.0,7.0,UDP,1,200M,,163060495.80641344,42.58048932965815,0.10278549798991465,ac:ed:5c:47:06:cb,209746783.0,167797426.0,44,5220,40,23,31,63,-91,24,2,on,2.551,2.551,2.551,ac:ed:5c:47:06:cb,-48.0,391.0,391.0,6.0,6.0,209748031.0,22470.0,
2025-08-13 17:20:11,RUN_20250813_171945_20,UDP,1,400M,,215565211.71308154,2.0774893868558224,0.01687645189693602,68:54:5a:e2:f2:c0,277278598.0,221822878.0,44,5220,80,23,63,127,-91,38,1,on,1.75,1.75,1.75,,,,,,,,,,UDP,1,50M,,49996134.03170094,4.670991658943466,0.05171661499619124,ac:ed:5c:47:06:cb,64316190.0,51452952.0,44,5220,40,23,15,31,-91,24,2,on,2.525,2.525,2.525,ac:ed:5c:47:06:cb,-48.0,10.0,10.0,6.0,6.0,64317032.0,19768.0,
2025-08-13 17:20:45,RUN_20250813_172018_21,TCP,1,,1M,35509974.33156214,0.0,,68:54:5a:e2:f2:c0,45191946.0,36153556.0,44,5220,20,17,7,15,-91,38,1,off,1.909,1.964,2.063,,,,,,,,,,TCP,1,,1M,52572184.21935253,0.0,,ac:ed:5c:47:06:cb,67220401.0,53776320.0,44,5220,80,10,63,127,-91,24,1,off,1.321,1.377,1.487,ac:ed:5c:47:06:cb,-46.0,67.0,67.0,135.0,300.0,67221757.0,235863.0,7.0
2025-08-13 17:21:19,RUN_20250813_172052_22,TCP,16,,,46112707.418332115,0.0,,68:54:5a:e2:f2:c0,51103207.0,40882565.0,40,5200,20,17,7,15,-91,38,1,on,1.957,2.001,2.118,68:54:5a:e2:f2:c0,-57.0,768.0,768.0,65.0,144.4,51104045.0,1002141.0,7.0,UDP,1,50M,,49996134.03170094,15.187673772011122,0.026547826473550813,ac:ed:5c:47:06:cb,64316654.0,51453323.0,36,5180,40,23,7,15,-92,18,1,off,2.044,2.355,2.616,ac:ed:5c:47:06:cb,-48.0,845.0,845.0,6.0,6.0,64317466.0,22234.0,
2025-08-13 17:22:24,RUN_20250813_172158_24,UDP,1,400M,,43612252.701978385,0.0,0.020879881089051887,68:54:5a:e2:f2:c0,56103306.0,44882644.0,40,5200,20,17,31,63,-91,38,1,on,0.836,0.899,0.969,68:54:5a:e2:f2:c0,-46.0,725.0,725.0,65.0,130.0,56104150.0,20566.0,7.0,TCP,1,,512K,30409976.208266467,0.0,,ac:ed:5c:47:06:cb,29631483.0,23705186.0,36,5180,40,23,31,63,-92,13,1,on,1.723,2.211,2.619,ac:ed:5c:47:06:cb,-49.0,187.0,187.0,6.0,300.0,29633301.0,120735.0,15.0
2025-08-13 17:22:58,RUN_20250813_172232_25,UDP,1,5M,,4999614.403084775,0.0,3.0404862126745655,68:54:5a:e2:f2:c0,6438223.0,5150578.0,44,5220,80,17,7,15,-91,38,2,off,0.78,0.892,1.016,68:54:5a:e2:f2:c0,-45.0,212.0,212.0,263.3,702.0,6439061.0,20009.0,6.0,UDP,1,400M,,37983632.13094295,0.033546813052759986,0.3539838130091277,ac:ed:5c:47:06:cb,48864781.0,39091824.0,36,5180,20,10,7,15,-92,22,1,on,1.171,1.49,2.047,ac:ed:5c:47:06:cb,-47.0,7605.0,7616.0,6.0,65.0,48865187.0,19511.0,7.0
