timestamp,traffic_label,channel,frequency_mhz,bandwidth_mhz,tx_power_dbm,cwmin,cwmax,noise_floor_dbm,channel_busy_percent,nss,rts_cts,latency_min_ms,latency_avg_ms,latency_max_ms,clients,proto,streams,udp_rate,tcp_window,throughput_bps,loss_pct,jitter_ms,client_mac,tx_delta_bytes,estimated_throughput_bps
2025-07-29 16:23:57,TEST1_20250729_162357,44,5220,20,17,63,127,-92,14,2,on,99.216,134.176,169.214,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -55, 'tx_retries': 213, 'tx_failed': 213, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 144.4, 'tx_bytes': 70366921, 'rx_bytes': 873109, 'mcs_index': 7}]",TCP,8,,,58672346.49513585,0.0,,68:54:5a:e2:f2:c0,70366475,56293180
2025-07-29 16:25:12,TEST2_20250729_162512,44,5220,20,17,63,127,-92,14,2,on,98.605,134.974,170.782,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -49, 'tx_retries': 510, 'tx_failed': 510, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 144.4, 'tx_bytes': 140968227, 'rx_bytes': 1015357, 'mcs_index': 7}]",TCP,1,,4M,58719469.15911327,0.0,,68:54:5a:e2:f2:c0,140967781,112774224
2025-07-29 16:26:27,TEST3_20250729_162627,44,5220,20,17,63,127,-92,14,2,on,63.031,98.417,134.332,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -48, 'tx_retries': 808, 'tx_failed': 808, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 144.4, 'tx_bytes': 210889193, 'rx_bytes': 1155832, 'mcs_index': 7}]",TCP,1,,512K,53911332.19307944,0.0,,68:54:5a:e2:f2:c0,210888657,168710925
2025-07-29 16:27:49,TEST1_20250729_162749,36,5180,40,10,7,15,-92,57,2,off,18.952,109.651,199.794,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -37, 'tx_retries': 32, 'tx_failed': 32, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 162, 'tx_bytes': 143539888, 'rx_bytes': 5791, 'mcs_index': 7}]",UDP,1,200M,,111591265.62900154,0.010380658756604001,0.050853144948080006,68:54:5a:e2:f2:c0,143539364,114831491
2025-07-29 16:29:04,TEST2_20250729_162904,36,5180,40,10,7,15,-92,18,2,off,73.692,109.046,144.508,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -47, 'tx_retries': 201, 'tx_failed': 201, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 300, 'tx_bytes': 286003267, 'rx_bytes': 2213833, 'mcs_index': 7}]",TCP,16,,,115696048.89968997,0.0,,68:54:5a:e2:f2:c0,286002821,228802256
2025-07-29 16:30:19,TEST3_20250729_163019,36,5180,40,10,7,15,-92,11,2,off,19.631,57.239,98.201,"[{'client_mac': '68:54:5a:e2:f2:c0', 'signal_rssi_dbm': -50, 'tx_retries': 222, 'tx_failed': 222, 'tx_bitrate_mbps': 121.5, 'rx_bitrate_mbps': 300, 'tx_bytes': 287063613, 'rx_bytes': 2560984, 'mcs_index': 6}]",UDP,1,100M,,,,,68:54:5a:e2:f2:c0,287043268,229634614
