timestamp,traffic_label,channel,frequency_mhz,bandwidth_mhz,tx_power_dbm,cwmin,cwmax,noise_floor_dbm,channel_busy_percent,nss,rts_cts,latency_min_ms,latency_avg_ms,latency_max_ms,clients,proto,streams,udp_rate,tcp_window,throughput_bps,loss_pct,jitter_ms,client_mac,tx_delta_bytes,estimated_throughput_bps
2025-07-29 12:26:36,TEST1_20250729_122636,44,5220,40,17,15,31,-92,0,2,on,1.236,1.272,1.337,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -43, 'tx_retries': 3008, 'tx_failed': 3008, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 6, 'tx_bytes': 91397681, 'rx_bytes': 5966, 'mcs_index': 7}]",UDP,1,200M,,71053377.87831476,0.0032606214744530003,0.529939833476065,b0:35:9f:ff:90:1f,91397098.0,73117678.0
2025-07-29 12:27:58,TEST1_20250729_122758,40,5200,40,10,7,15,-91,0,1,off,0.918,1.017,1.171,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -42, 'tx_retries': 0, 'tx_failed': 0, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 18, 'tx_bytes': 3361, 'rx_bytes': 4554, 'mcs_index': 7}]",TCP,1,,1M,,0.0,,,,
2025-07-29 12:29:16,TEST1_20250729_122916,40,5200,40,23,63,127,-92,0,2,on,0.967,1.306,1.947,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -45, 'tx_retries': 0, 'tx_failed': 0, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 12, 'tx_bytes': 2690, 'rx_bytes': 4248, 'mcs_index': 7}]",TCP,1,,512K,,0.0,,b0:35:9f:ff:90:1f,2177.0,1741.0
2025-07-29 12:30:27,TEST1_20250729_123027,40,5200,80,23,63,127,-91,0,1,on,1.086,1.219,1.363,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -46, 'tx_retries': 0, 'tx_failed': 0, 'tx_bitrate_mbps': 135, 'rx_bitrate_mbps': 6, 'tx_bytes': 3668, 'rx_bytes': 5147, 'mcs_index': 7}]",TCP,1,,4M,,0.0,,b0:35:9f:ff:90:1f,2373.0,1898.0
2025-07-29 12:31:38,TEST1_20250729_123138,36,5180,20,17,7,15,-92,30,1,on,1.237,4.211,6.867,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -43, 'tx_retries': 28, 'tx_failed': 28, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 6, 'tx_bytes': 70048416, 'rx_bytes': 1675336, 'mcs_index': 7}]",TCP,16,,,57233460.271632366,0.0,,b0:35:9f:ff:90:1f,70047701.0,56038160.0
2025-07-29 12:33:00,TEST1_20250729_123300,48,5240,20,10,15,31,-92,22,1,off,0.76,1.056,1.206,"[{'client_mac': 'b0:35:9f:ff:90:1f', 'signal_rssi_dbm': -44, 'tx_retries': 150, 'tx_failed': 150, 'tx_bitrate_mbps': 65, 'rx_bitrate_mbps': 144.4, 'tx_bytes': 71008483, 'rx_bytes': 515779, 'mcs_index': 7}]",TCP,2,,,56514719.36145469,0.0,,b0:35:9f:ff:90:1f,71008056.0,56806444.0
