timestamp,traffic_label,ap1_proto,ap1_streams,ap1_udp_rate,ap1_tcp_window,ap1_throughput_bps,ap1_loss_pct,ap1_jitter_ms,ap1_txd_client_mac,ap1_txd_tx_delta_bytes,ap1_txd_estimated_throughput_bps,ap1_wifi_channel,ap1_wifi_frequency_mhz,ap1_wifi_bandwidth_mhz,ap1_wifi_tx_power_dbm,ap1_wifi_cwmin,ap1_wifi_cwmax,ap1_wifi_noise_floor_dbm,ap1_wifi_channel_busy_percent,ap1_wifi_nss,ap1_wifi_rts_cts,ap1_wifi_latency_min_ms,ap1_wifi_latency_avg_ms,ap1_wifi_latency_max_ms,ap1_client_client_mac,ap1_client_signal_rssi_dbm,ap1_client_tx_retries,ap1_client_tx_failed,ap1_client_tx_bitrate_mbps,ap1_client_rx_bitrate_mbps,ap1_client_tx_bytes,ap1_client_rx_bytes,ap1_client_mcs_index,ap2_proto,ap2_streams,ap2_udp_rate,ap2_tcp_window,ap2_throughput_bps,ap2_loss_pct,ap2_jitter_ms,ap2_txd_client_mac,ap2_txd_tx_delta_bytes,ap2_txd_estimated_throughput_bps,ap2_wifi_channel,ap2_wifi_frequency_mhz,ap2_wifi_bandwidth_mhz,ap2_wifi_tx_power_dbm,ap2_wifi_cwmin,ap2_wifi_cwmax,ap2_wifi_noise_floor_dbm,ap2_wifi_channel_busy_percent,ap2_wifi_nss,ap2_wifi_rts_cts,ap2_wifi_latency_min_ms,ap2_wifi_latency_avg_ms,ap2_wifi_latency_max_ms,ap2_client_client_mac,ap2_client_signal_rssi_dbm,ap2_client_tx_retries,ap2_client_tx_failed,ap2_client_tx_bitrate_mbps,ap2_client_rx_bitrate_mbps,ap2_client_tx_bytes,ap2_client_rx_bytes,ap2_client_mcs_index
2025-08-12 14:10:36,RUN_20250812_141011_17,TCP,1,,2M,104856289.29638378,0.0,,68:54:5a:e2:f2:c0,134020854.0,107216683.0,44,5220,40,10,63,127,-92,0,1,off,0.964,1.56,1.937,68:54:5a:e2:f2:c0,-56.0,869.0,869.0,135.0,300.0,134022000.0,223407.0,7.0,TCP,16,,,57460474.8993989,0.0,,ac:ed:5c:47:06:cb,70066042.0,56052833.0,36,5180,20,10,7,15,-92,38,1,on,1.156,1.493,2.234,ac:ed:5c:47:06:cb,-47.0,73.0,73.0,65.0,6.0,70066042.0,1672197.0,7.0
2025-08-12 14:11:43,RUN_20250812_141117_19,TCP,1,,1M,44006696.260048166,0.0,,68:54:5a:e2:f2:c0,55954678.0,44763742.0,48,5240,20,23,31,63,-92,0,2,off,0.93,0.976,1.082,68:54:5a:e2:f2:c0,-46.0,205.0,205.0,65.0,130.0,55955824.0,118243.0,7.0,UDP,1,400M,,57813294.22942327,0.0,0.0090640304567585,ac:ed:5c:47:06:cb,74367741.0,59494192.0,48,5240,80,17,63,127,-92,29,2,off,1.99,2.06,2.134,ac:ed:5c:47:06:cb,-45.0,279.0,279.0,292.5,12.0,74367819.0,5143.0,7.0
2025-08-12 14:12:49,RUN_20250812_141221_21,TCP,1,,512K,46613475.2836867,0.0,,68:54:5a:e2:f2:c0,60594373.0,48475498.0,44,5220,40,23,63,127,-92,0,1,off,1.056,1.096,1.178,68:54:5a:e2:f2:c0,-55.0,380.0,380.0,135.0,300.0,60595773.0,109131.0,7.0,TCP,1,,,138725078.82413295,0.0,,ac:ed:5c:47:06:cb,179317242.0,143453793.0,44,5220,80,17,31,63,-92,0,2,on,1.993,2.071,2.168,ac:ed:5c:47:06:cb,-47.0,387.0,387.0,292.5,866.7,179317320.0,323532.0,7.0
2025-08-12 14:14:27,RUN_20250812_141404_24,UDP,1,200M,,107624946.1254202,29.428795918587,0.0316125916786441,68:54:5a:e2:f2:c0,138440228.0,110752182.0,44,5220,80,23,15,31,-92,57,2,on,1.147,27.108,103.898,68:54:5a:e2:f2:c0,-39.0,3233.0,3235.0,292.5,6.0,138441066.0,13251.0,7.0,TCP,1,,1M,32607420.09318491,0.0,,ac:ed:5c:47:06:cb,40804572.0,32643657.0,40,5200,20,23,7,15,-92,0,1,on,1.118,1.633,2.087,ac:ed:5c:47:06:cb,-45.0,2752.0,2765.0,65.0,6.0,40804572.0,199699.0,7.0
2025-08-12 14:15:34,RUN_20250812_141508_26,TCP,1,,512K,29150057.447874427,0.0,,68:54:5a:e2:f2:c0,37491141.0,29992912.0,44,5220,40,10,31,63,-91,50,1,on,1.458,1.859,2.106,68:54:5a:e2:f2:c0,-46.0,8700.0,8733.0,135.0,240.0,37492385.0,105452.0,7.0,TCP,1,,512K,84726837.0589457,0.0,,ac:ed:5c:47:06:cb,109993284.0,87994627.0,40,5200,80,23,7,15,-72,18,1,off,1.295,1.734,2.121,ac:ed:5c:47:06:cb,-45.0,317.0,317.0,135.0,216.0,109993284.0,351951.0,7.0
2025-08-12 14:17:15,RUN_20250812_141649_29,TCP,1,,,42885960.72113059,0.0,,68:54:5a:e2:f2:c0,53237251.0,42589800.0,40,5200,40,17,7,15,-92,0,2,off,0.926,5.813,19.322,68:54:5a:e2:f2:c0,-54.0,461.0,461.0,135.0,300.0,53238089.0,95617.0,7.0,TCP,4,,,129778596.20675768,0.0,,ac:ed:5c:47:06:cb,158644707.0,126915765.0,40,5200,80,10,63,127,-91,0,2,on,1.13,1.726,2.227,ac:ed:5c:47:06:cb,-48.0,239.0,239.0,6.0,866.7,158644707.0,508753.0,9.0
2025-08-12 14:17:48,RUN_20250812_141722_30,UDP,1,10M,,9999229.80608453,2.8498609823911027,0.0808262559252222,68:54:5a:e2:f2:c0,12866820.0,10293456.0,40,5200,40,23,15,31,-91,2,1,on,1.281,1.884,2.202,68:54:5a:e2:f2:c0,-44.0,7.0,7.0,135.0,216.0,12868470.0,14192.0,7.0,TCP,1,,,55975270.01299079,0.0,,ac:ed:5c:47:06:cb,70780353.0,56624282.0,48,5240,20,17,15,31,-91,0,2,off,1.196,1.456,1.7,ac:ed:5c:47:06:cb,-46.0,388.0,388.0,65.0,6.0,70780353.0,336222.0,7.0
2025-08-12 14:18:21,RUN_20250812_141755_31,TCP,16,,,118981240.03637554,0.0,,68:54:5a:e2:f2:c0,142967033.0,114373626.0,44,5220,80,17,15,31,-91,2,1,off,1.514,1.723,1.838,68:54:5a:e2:f2:c0,-47.0,8048.0,8100.0,390.0,866.7,142968331.0,620185.0,9.0,TCP,16,,,34325307.19390583,0.0,,ac:ed:5c:47:06:cb,40853665.0,32682932.0,36,5180,20,17,63,127,-92,41,2,off,0.828,1.415,1.964,ac:ed:5c:47:06:cb,-45.0,2463.0,2500.0,65.0,6.0,40853665.0,901007.0,7.0
2025-08-12 14:20:00,RUN_20250812_141934_34,TCP,1,,512K,105361113.0277567,0.0,,68:54:5a:e2:f2:c0,137573394.0,110058715.0,44,5220,80,17,63,127,-84,53,2,on,1.609,27.849,74.603,68:54:5a:e2:f2:c0,-56.0,1804.0,1856.0,292.5,866.7,137575274.0,232983.0,7.0,UDP,1,10M,,9999228.80616955,0.0,0.1097226507317174,ac:ed:5c:47:06:cb,12866428.0,10293142.0,40,5200,80,23,63,127,-92,7,1,on,1.776,10.845,37.94,ac:ed:5c:47:06:cb,-46.0,43.0,43.0,351.0,9.0,12866788.0,5123.0,8.0
2025-08-12 14:20:33,RUN_20250812_142007_35,TCP,2,,,135998348.82377693,0.0,,68:54:5a:e2:f2:c0,309726459.0,247781167.0,44,5220,80,10,31,63,-84,53,2,on,0.803,1.104,1.575,68:54:5a:e2:f2:c0,-56.0,3466.0,3518.0,292.5,866.7,309727757.0,450482.0,7.0,UDP,1,50M,,48193692.86982633,0.0,0.0424681796124829,ac:ed:5c:47:06:cb,61994715.0,49595772.0,40,5200,40,17,7,15,-91,1,1,on,1.151,1.279,1.518,ac:ed:5c:47:06:cb,-46.0,3164.0,3164.0,135.0,9.0,61994793.0,5476.0,7.0
