timestamp,traffic_label,proto,streams,throughput_received_bps,loss_pct,jitter_ms
2025-07-29 14:06:56,TEST1_20250729_140655,null,,,0.0,
2025-07-29 14:08:11,TEST2_20250729_140801,TCP,2.0,101864470.10608432,0.0,
2025-07-29 14:09:26,TEST3_20250729_140916,TCP,16.0,100637857.76555094,0.0,
2025-07-29 14:10:47,TEST1_20250729_141037,TCP,8.0,49745014.57323537,0.0,
2025-07-29 14:12:03,TEST2_20250729_141152,UDP,1.0,9997646.191438364,0.0,0.07203114362408701
2025-07-29 14:13:18,TEST3_20250729_141308,TCP,1.0,52471699.01779978,0.0,
2025-07-29 14:14:39,TEST1_20250729_141429,TCP,4.0,101248135.35321233,0.0,
2025-07-29 14:15:54,TEST2_20250729_141544,UDP,1.0,108766327.09588514,0.036182915278768005,0.051348663317346006
2025-07-29 14:17:09,TEST3_20250729_141659,UDP,1.0,99964677.56424645,0.006951041497717,0.137786888737119
2025-07-29 14:18:30,TEST1_20250729_141820,UDP,1.0,51981949.36041355,0.028924884300462004,0.50829562162495
2025-07-29 14:19:46,TEST2_20250729_141935,UDP,1.0,49966345.07884064,0.0,0.293239549086922
2025-07-29 14:21:01,TEST3_20250729_142051,TCP,8.0,50136559.63362736,0.0,
2025-07-29 14:22:12,TEST1_20250729_142212,null,,,0.0,
2025-07-29 14:23:27,TEST2_20250729_142317,UDP,1.0,108047025.63460818,0.0,0.14098678326788
2025-07-29 14:24:42,TEST3_20250729_142432,TCP,2.0,100911832.21214873,0.0,
2025-07-29 14:26:03,TEST1_20250729_142553,UDP,1.0,9999150.81341715,0.0,0.06422158629715001
2025-07-29 14:27:19,TEST2_20250729_142708,TCP,16.0,52041104.24442615,0.0,
2025-07-29 14:28:34,TEST3_20250729_142824,TCP,2.0,53508520.2624864,0.0,
2025-07-29 14:29:55,TEST1_20250729_142945,TCP,8.0,51200828.23425657,0.0,
2025-07-29 14:31:10,TEST2_20250729_143100,TCP,16.0,50575334.41128914,0.0,
2025-07-29 14:32:26,TEST3_20250729_143215,UDP,1.0,4999427.42599486,0.0,0.05944913152124501
2025-07-29 14:33:48,TEST1_20250729_143337,TCP,2.0,107094321.96847132,0.0,
2025-07-29 14:34:53,TEST2_20250729_143453,null,,,0.0,
2025-07-29 14:36:08,TEST3_20250729_143558,TCP,8.0,105321233.2818975,0.0,
2025-07-29 14:37:29,TEST1_20250729_143719,UDP,1.0,49979451.64598284,0.0,0.20757768273481303
2025-07-29 14:38:45,TEST2_20250729_143834,TCP,8.0,50799974.7478178,0.0,
2025-07-29 14:40:00,TEST3_20250729_143950,UDP,1.0,54938626.0811178,0.0,0.34660572073480805
2025-07-29 14:41:11,TEST1_20250729_144111,null,,,0.0,
2025-07-29 14:42:26,TEST2_20250729_144216,TCP,16.0,101415805.04117538,0.0,
2025-07-29 14:43:42,TEST3_20250729_144331,TCP,2.0,104709122.46434556,0.0,
2025-07-29 14:45:04,TEST1_20250729_144453,TCP,8.0,105876422.31666659,0.0,
2025-07-29 14:46:09,TEST2_20250729_144609,null,,,0.0,
2025-07-29 14:47:24,TEST3_20250729_144714,TCP,4.0,106373176.9663502,0.0,
2025-07-29 14:48:46,TEST1_20250729_144836,TCP,2.0,52854007.87683409,0.0,
2025-07-29 14:50:01,TEST2_20250729_144951,UDP,1.0,9997771.14279824,0.0,0.126120290933667
2025-07-29 14:51:16,TEST3_20250729_145106,UDP,1.0,4999177.9783386635,0.0,0.06624071441314
2025-07-29 14:52:37,TEST1_20250729_145227,TCP,16.0,102212077.06478277,0.0,
2025-07-29 14:53:53,TEST2_20250729_145342,UDP,1.0,99913268.68799554,0.037073080309560004,0.220825426557947
