timestamp,traffic_label,proto,streams,throughput_received_bps,loss_pct,jitter_ms
2025-07-29 14:07:05,TEST1_20250729_140655,TCP,1,111608333.71608412,0.0,
2025-07-29 14:08:20,TEST2_20250729_140810,TCP,1,110164238.6002785,0.0,
2025-07-29 14:09:35,TEST3_20250729_140925,TCP,1,110548458.78574194,0.0,
2025-07-29 14:10:56,TEST1_20250729_141046,UDP,1,49989225.57737547,0.0,0.029377609235210003
2025-07-29 14:12:12,TEST2_20250729_141201,TCP,16,107014465.02437532,0.0,
2025-07-29 14:13:27,TEST3_20250729_141317,UDP,1,109597766.44205135,0.05068905433233,0.157392770637577
2025-07-29 14:14:48,TEST1_20250729_141438,TCP,1,110752360.32481915,0.0,
2025-07-29 14:16:03,TEST2_20250729_141553,UDP,1,110751986.45826346,0.005227938101212,0.095025674209505
2025-07-29 14:17:19,TEST3_20250729_141708,UDP,1,111193895.79625757,2.6401971022721513,0.259157519737008
2025-07-29 14:18:40,TEST1_20250729_141830,TCP,1,297185935.28485566,0.0,
2025-07-29 14:19:55,TEST2_20250729_141945,UDP,1,9997156.41222445,0.0,0.11826779030002602
2025-07-29 14:21:10,TEST3_20250729_142100,TCP,1,321052347.4982352,0.0,
2025-07-29 14:22:32,TEST1_20250729_142221,UDP,1,57193017.77363366,0.0,0.43607690658312503
2025-07-29 14:23:47,TEST2_20250729_142337,TCP,2,54436018.254242174,0.0,
2025-07-29 14:25:02,TEST3_20250729_142452,TCP,1,54035427.18844816,0.0,
2025-07-29 14:26:23,TEST1_20250729_142613,TCP,1,53822155.07091664,0.0,
2025-07-29 14:27:38,TEST2_20250729_142728,TCP,1,54039350.68709594,0.0,
2025-07-29 14:28:54,TEST3_20250729_142843,UDP,1,4998344.333950072,0.0,0.48038045544322305
2025-07-29 14:30:15,TEST1_20250729_143005,TCP,1,315316401.9760088,0.0,
2025-07-29 14:31:30,TEST2_20250729_143120,UDP,1,99833241.4585168,0.14944566086261402,0.040534413900231006
2025-07-29 14:32:45,TEST3_20250729_143235,UDP,1,4998644.174012433,0.0,0.345722366970851
2025-07-29 14:34:06,TEST1_20250729_143356,UDP,1,9998976.83396911,0.0,0.18388328997490902
2025-07-29 14:35:21,TEST2_20250729_143511,TCP,1,54764380.405484214,0.0,
2025-07-29 14:36:37,TEST3_20250729_143626,UDP,1,56507712.290826544,0.0,0.362286284322894
2025-07-29 14:37:58,TEST1_20250729_143748,TCP,1,107417379.17879704,0.0,
2025-07-29 14:39:13,TEST2_20250729_143903,TCP,16,103755146.6012148,0.0,
2025-07-29 14:40:28,TEST3_20250729_144018,UDP,1,4999024.02307069,0.0,0.6214146478227031
2025-07-29 14:41:49,TEST1_20250729_144139,UDP,1,49981774.98375391,0.020852641334569003,0.069955151541116
2025-07-29 14:43:05,TEST2_20250729_144254,TCP,4,103859864.76486918,0.0,
2025-07-29 14:44:20,TEST3_20250729_144410,TCP,2,106297231.05060117,0.0,
2025-07-29 14:45:41,TEST1_20250729_144531,UDP,1,57013991.4261375,0.010149193139145,0.23897170384372002
2025-07-29 14:46:56,TEST2_20250729_144646,UDP,1,9994981.00982082,0.023169601482854,0.296143398781821
2025-07-29 14:48:12,TEST3_20250729_144801,TCP,1,54563331.128393516,0.0,
2025-07-29 14:49:33,TEST1_20250729_144923,UDP,1,56348467.5888256,0.0,0.052280539829822004
2025-07-29 14:50:48,TEST2_20250729_145038,TCP,2,54854543.2763344,0.0,
2025-07-29 14:52:03,TEST3_20250729_145153,TCP,8,54004728.08802688,0.0,
2025-07-29 14:53:24,TEST1_20250729_145314,UDP,1,49988235.95518425,0.0,0.074261897562807
2025-07-29 14:54:39,TEST2_20250729_145429,UDP,1,4999522.9125474,0.0,0.595740611479177
2025-07-29 14:55:55,TEST3_20250729_145544,UDP,1,107992222.37473905,0.010722825679022,0.06721581099023201
2025-07-29 14:57:16,TEST1_20250729_145706,UDP,1,9997683.176715465,0.0,0.137272309538004
2025-07-29 14:58:31,TEST2_20250729_145821,UDP,1,199259571.0885941,0.360866543095458,0.041156631799602
2025-07-29 14:59:46,TEST3_20250729_145936,TCP,1,332702242.0197771,0.0,
2025-07-29 15:01:07,TEST1_20250729_150057,UDP,1,9998835.855064057,0.0,0.23121790333765102
2025-07-29 15:02:22,TEST2_20250729_150212,TCP,4,54248410.0129608,0.0,
2025-07-29 15:03:38,TEST3_20250729_150327,TCP,1,54860841.842720374,0.0,
2025-07-29 15:04:59,TEST1_20250729_150449,TCP,1,109532151.59312432,0.0,
2025-07-29 15:06:14,TEST2_20250729_150604,TCP,16,105171923.96280971,0.0,
2025-07-29 15:07:29,TEST3_20250729_150719,UDP,1,109935301.86733016,0.005267260813686001,0.07417511640133301
2025-07-29 15:08:51,TEST1_20250729_150840,UDP,1,96944524.6018226,2.9356225164795697,0.069989346224822
2025-07-29 15:10:06,TEST2_20250729_150955,UDP,1,48904182.92464346,2.150139017608897,0.081180222449902
2025-07-29 15:11:21,TEST3_20250729_151111,TCP,1,283767293.0237095,0.0,
2025-07-29 15:12:42,TEST1_20250729_151232,UDP,1,49155377.61973894,0.11995766200164601,0.413580567650554
2025-07-29 15:13:57,TEST2_20250729_151347,TCP,8,25742840.3482947,0.0,
2025-07-29 15:15:13,TEST3_20250729_151502,TCP,1,42204603.817605086,0.0,
2025-07-29 15:16:34,TEST1_20250729_151624,TCP,16,27108793.94940905,0.0,
2025-07-29 15:17:49,TEST2_20250729_151739,TCP,4,30798290.856160376,0.0,
2025-07-29 15:19:05,TEST3_20250729_151854,TCP,1,54426770.0968525,0.0,
2025-07-29 15:20:26,TEST1_20250729_152016,TCP,1,55179778.9811404,0.0,
2025-07-29 15:21:41,TEST2_20250729_152131,TCP,8,54017576.25893205,0.0,
2025-07-29 15:22:56,TEST3_20250729_152246,UDP,1,4999252.9599873135,0.0,0.350376766084021
